ID                            : ACCESS,    TYPE,  CNT,     MIN,           MAX,   STEP,      DEFAULT
EP/MODE5/FREQ_FILTER_SIZE     :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
EP/MODE5/DEPTH_FILTER_SIZE    :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
EP/MODE6/NAME_MODE            :    RWA,  STRING,   20,     N/A,           N/A,    N/A, Mode6-BotSeach
EP/MODE6/VERSION              :      R,  UINT16,    1,    0.00,      65535.00,   1.00,          256
EP/MODE6/CODE_ZI              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/MODE6/MODE_ID              :      R,   UINT8,    1,    0.00,        255.00,   1.00,            5
EP/MODE6/CHPK                 :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            0
EP/MODE6/GZI_MODE             :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            0
EP/MODE6/GZI_M                :    RWA,  UINT32,    1,    0.00,     524287.00,   1.00,        76960
EP/MODE6/GZI_N                :    RWA,  UINT32,    1,    0.00,       2047.00,   1.00,            0
EP/MODE6/GZI_Z                :    RWA,  UINT16,    1,   10.00,       1000.00,   1.00,           30
EP/MODE6/GZI_P                :    RWA,  UINT16,    1,    0.00,     131071.00,   1.00,          341
EP/MODE6/NUM_SAMPLE           :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,         7494
EP/MODE6/T_ZI                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,           28
EP/MODE6/T_DZ                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,           36
EP/MODE6/T_WT                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,           56
EP/MODE6/SIZE_BD              :    RWA,  UINT16,    1,    0.00,       1500.00,   1.00,            7
EP/MODE6/T_ADJ                :    RWA,  UINT16,    1,    0.00,       1000.00,   1.00,            2
EP/MODE6/AKF_SIZE             :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,           24
EP/MODE6/AKF_TDELAY           :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,           21
EP/MODE6/AKF_SHIFT            :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            5
EP/MODE6/BD_WORK              :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,         7494
EP/MODE6/BD_TRES              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,         4014
EP/MODE6/BD_MAX               :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,         7490
EP/MODE6/GAIN_0               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,         0.00
EP/MODE6/GAIN_1               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,        25.00
EP/MODE6/GAIN_2               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,        15.00
EP/MODE6/WORK/BOT_ITERATION   :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,           10
EP/MODE6/WORK/V_ITERATION     :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE6/WORK/H_MAX           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,       102.00
EP/MODE6/WORK/H_MIN           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,         0.80
EP/MODE6/WORK/D_TRES          :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,       117.78
EP/MODE6/WORK/BOT_MEASURE_PERIOD:    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE6/WORK/BW              :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            1
EP/MODE6/FREQ_FILTER_SIZE     :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
EP/MODE6/DEPTH_FILTER_SIZE    :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
EP/MODE7/NAME_MODE            :    RWA,  STRING,   20,     N/A,           N/A,    N/A, Mode7-Chpk_0
EP/MODE7/VERSION              :      R,  UINT16,    1,    0.00,      65535.00,   1.00,          256
EP/MODE7/CODE_ZI              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/MODE7/MODE_ID              :      R,   UINT8,    1,    0.00,        255.00,   1.00,            6
EP/MODE7/CHPK                 :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            1
EP/MODE7/GZI_MODE             :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            0
EP/MODE7/GZI_M                :    RWA,  UINT32,    1,    0.00,     524287.00,   1.00,        76960
EP/MODE7/GZI_N                :    RWA,  UINT32,    1,    0.00,       2047.00,   1.00,            0
EP/MODE7/GZI_Z                :    RWA,  UINT16,    1,   10.00,       1000.00,   1.00,           30
EP/MODE7/GZI_P                :    RWA,  UINT16,    1,    0.00,     131071.00,   1.00,          303
